feature,importance_mean,importance_std
tenure,0.15681107752719003,0.00479008291048007
InternetService_Fiber optic,0.04181805264925466,0.008122900518628663
Contract_Two year,0.034094009145159976,0.004851134594349483
MonthlyCharges,0.03081014751091472,0.005390828805806487
TotalCharges,0.012079619726678526,0.002257590385949817
Contract_One year,0.009997804128238908,0.003189066468740512
PaymentMethod_Electronic check,0.0038077708026556744,0.0018061049057138828
StreamingMovies_Yes,0.003252990260662869,0.0018368798988916601
StreamingTV_Yes,0.0026912345966054406,0.002231089171682405
PhoneService_1,0.0026142499160401343,0.001083546300690416
PaperlessBilling_1,0.0024086129840605206,0.0014814958625042104
OnlineSecurity_Yes,0.002238497507039672,0.001014311697035015
MultipleLines_Yes,0.0020190394998578776,0.0013320953479633165
TechSupport_Yes,0.001773360200470131,0.0012523942941653464
SeniorCitizen,0.0010209511999792697,0.00041529776685646886
TotalServices,0.0009081867266010124,0.00039339624063610833
Dependents_1,0.0008107933555503433,0.0010503659518622925
StreamingMovies_No internet service,0.00046759151618483983,0.0006549381769960853
DeviceProtection_No internet service,0.00046759151618483983,0.0006549381769960853
TechSupport_No internet service,0.00046759151618483983,0.0006549381769960853
InternetService_No,0.00046759151618483983,0.0006549381769960853
OnlineSecurity_No internet service,0.00046759151618483983,0.0006549381769960853
StreamingTV_No internet service,0.00046759151618483983,0.0006549381769960853
OnlineBackup_No internet service,0.00046759151618483983,0.0006549381769960853
OnlineBackup_Yes,0.00020873698623055103,0.00018339640629229568
Partner_1,9.132243147587093e-05,0.00012475344688691833
PaymentMethod_Mailed check,4.766333410832768e-05,0.00018028525978622126
PaymentMethod_Credit card (automatic),7.233459918820628e-06,4.214629881329281e-05
gender_1,-8.460564726550101e-05,0.00013708134167228652
DeviceProtection_Yes,-0.0001078560541476481,0.00016802514285227182
AvgMonthlySpend,-0.000306130357281309,0.0003276743534247347
MultipleLines_No phone service,-0.0003457852179080456,0.0005824109470446415
