feature,importance_mean,importance_std
Contract_Two year,0.09086775685241158,0.009613237550533065
tenure,0.07819576842594747,0.004287675642156948
Contract_One year,0.02270789738820429,0.0062041161257899765
InternetService_Fiber optic,0.017641892066444544,0.00440561385111405
TotalCharges,0.006676225167273786,0.0022565434631511543
AvgMonthlySpend,0.005101655945645744,0.0028018576944625656
InternetService_No,0.004179777312769628,0.002156049368208363
PaymentMethod_Electronic check,0.004147743418843153,0.001252285447293089
TechSupport_Yes,0.003767599266320498,0.0017801060172245892
PaperlessBilling_1,0.0035756542406158776,0.0018456041061814517
OnlineSecurity_Yes,0.002736572890025568,0.0012814621607533535
MonthlyCharges,0.002630525200857692,0.003283575563139684
StreamingMovies_Yes,0.0020528817587641577,0.0007956455825919069
SeniorCitizen,0.0020006975122065286,0.0008107972653858183
StreamingTV_Yes,0.00167299594409569,0.0018373671984681574
MultipleLines_Yes,0.0015616523289157635,0.001505601015549713
TotalServices,0.0013274690640419974,0.001321789115131732
Dependents_1,0.0011610994859077017,0.0008205365890239213
PhoneService_1,0.0011341031801390122,0.00079462347155009
PaymentMethod_Credit card (automatic),0.00043568679118553,0.0004821455964020475
PaymentMethod_Mailed check,0.0003004469244878516,0.0004143880105904189
Partner_1,9.752253997781235e-05,0.0004236702413205783
MultipleLines_No phone service,0.0,0.0
OnlineSecurity_No internet service,0.0,0.0
StreamingTV_No internet service,0.0,0.0
OnlineBackup_No internet service,0.0,0.0
DeviceProtection_No internet service,0.0,0.0
TechSupport_No internet service,0.0,0.0
StreamingMovies_No internet service,0.0,0.0
DeviceProtection_Yes,-0.00012697305536180092,0.0003150647260183132
OnlineBackup_Yes,-0.0002106745201374327,0.00029970166840951755
gender_1,-0.00029515099847579054,0.000494541333798114
