feature,importance_mean,importance_std
Contract_Two year,0.08956896329019089,0.008400416942613917
tenure,0.06943579012632718,0.004844701079023232
Contract_One year,0.02116084114805339,0.006134727382808209
InternetService_Fiber optic,0.01631958975948744,0.004105137994563947
InternetService_No,0.006492805290759273,0.002633602711109691
TotalCharges,0.005834302100286714,0.0014586471999398782
OnlineSecurity_Yes,0.003187372445684444,0.0014802031130794753
PaymentMethod_Electronic check,0.003105737683742793,0.001058626036897387
TechSupport_Yes,0.0029431140044950733,0.0019752887413565885
PaperlessBilling_1,0.002178950631636056,0.001720097110997526
AvgMonthlySpend,0.0019715053346766598,0.0030048105874200485
StreamingMovies_Yes,0.0018291611769872373,0.0008118308584481719
SeniorCitizen,0.0012400217003797676,0.0006602551553429848
MonthlyCharges,0.0011631661887416378,0.002275388598597397
PhoneService_1,0.0009515874861143914,0.0008953937574091421
Dependents_1,0.0009294995995763666,0.0009482824334164901
StreamingTV_Yes,0.0007667467514014703,0.0015926812820502118
TotalServices,0.000656694825492754,0.0007547034781707746
PaymentMethod_Credit card (automatic),0.00022113720323437835,0.0002952112240563862
MultipleLines_Yes,7.478880880410488e-05,0.0010882315300762516
MultipleLines_No phone service,3.952569169962672e-05,2.00290989446409e-05
DeviceProtection_No internet service,0.0,0.0
OnlineSecurity_No internet service,0.0,0.0
OnlineBackup_No internet service,0.0,0.0
StreamingMovies_No internet service,0.0,0.0
TechSupport_No internet service,0.0,0.0
StreamingTV_No internet service,0.0,0.0
OnlineBackup_Yes,-7.930972125347324e-05,0.00035436487002711705
DeviceProtection_Yes,-0.00013601488026043773,9.524585962999233e-05
gender_1,-0.0002132578986798861,0.0006550052876932997
PaymentMethod_Mailed check,-0.0005202924384509977,0.00046619204248741185
Partner_1,-0.0009411248030173792,0.00035744111340657234
