feature,importance_mean,importance_std
tenure,0.02850784055387635,0.001955622743866691
Contract_Two year,0.027550698803895712,0.003432848960683122
InternetService_Fiber optic,0.020936991397349468,0.004936220995782325
TotalCharges,0.017146916737709583,0.002334059052427246
Contract_One year,0.012411067193675906,0.003837806299074141
AvgMonthlySpend,0.0037120566276576785,0.002751511286384399
PaperlessBilling_1,0.002486501847115663,0.0014140031064861069
TechSupport_Yes,0.0021856674158464264,0.0015930349320088552
PaymentMethod_Electronic check,0.0014367459763878765,0.000975878049053283
OnlineBackup_Yes,0.0012087628200160405,0.00094249898966468
Partner_1,0.0011852540752796624,0.0003331773200629333
SeniorCitizen,0.0011011651037226677,0.0007713451483352693
TotalServices,0.0010876023663747402,0.0010665144395386984
MonthlyCharges,0.0009393164380376628,0.002837999466759755
OnlineSecurity_Yes,0.0008075641323723182,0.001060470881609518
Dependents_1,0.0007752719005916453,0.0006708064118594677
StreamingMovies_Yes,0.0004657831512051458,0.000615542782234567
OnlineBackup_No internet service,0.0004239324188173743,0.0011361359602039438
MultipleLines_Yes,0.0004199281820765344,0.000739393323615022
PaymentMethod_Credit card (automatic),0.0002517502389625892,0.0005127204162691214
OnlineSecurity_No internet service,0.0002502002118370261,0.0011296312754887955
DeviceProtection_No internet service,0.00017786561264824253,0.0009552454025192326
PhoneService_1,0.00015216099615080747,0.000237004249982953
TechSupport_No internet service,0.00014738174584723042,0.0008657200706898062
StreamingMovies_No internet service,0.0001225813118396313,0.0007786162035564408
StreamingTV_No internet service,4.6113306982864534e-05,0.0010803460885332168
InternetService_No,2.1054535121045605e-05,0.00116920799645054
PaymentMethod_Mailed check,-4.908419230666983e-05,0.0008603717190616564
StreamingTV_Yes,-0.0001419566509079928,0.0006768608187227154
MultipleLines_No phone service,-0.0002836549639618657,0.0001775320590664452
gender_1,-0.00044912035960626985,0.000516910758619605
DeviceProtection_Yes,-0.0006387403446226902,0.0004866547111788653
